"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9595","Verify that stamp widgets Copy widget next to current function correctly in request signature.","chromium","2026-07-22","passed","2026-07-22","Request signature","MainAppPages/Request_Signature.spec.js","",""
"Verify browser back navigation on login page","4197","Verify that browser back button works correctly on login page","chromium","2026-07-22","passed","2026-07-22","Login Page Tests > Login State and Session Tests","MainAppPages/Login.spec.js","",""
"","13197","Verify that the signer can add the widget if the allowed modification set to enabled.","chromium","2026-07-22","passed","2026-07-22","Request signature","MainAppPages/Request_Signature.spec.js","",""
"Verify login form submission using Enter key on password field","4696","Verify that form submission works with Enter key on password field","chromium","2026-07-22","passed","2026-07-22","Login Page Tests > Positive Login Tests","MainAppPages/Login.spec.js","",""
"","11085","Verify that the document sent for a signature request appears in the Recently Sent for Signatures section on the dashboard.","chromium","2026-07-22","passed","2026-07-22","","MainAppPages/Dashboard.spec.js","",""
"","8710","Verify that textinput field widget Copy widget to all pages but last function correctly in request signature.","chromium","2026-07-22","passed","2026-07-22","Request signature","MainAppPages/Request_Signature.spec.js","",""
"Verify login fails with invalid password for valid email","2809","Verify that login fails with invalid password","chromium","2026-07-22","passed","2026-07-22","Login Page Tests > Negative Login Tests","MainAppPages/Login.spec.js","",""
"","12377","Verify that the rotate page functions correctly in create template.","chromium","2026-07-22","passed","2026-07-22","Templates","MainAppPages/CreateTemplate.spec.js","",""
"Verify login page has correct page title on initial load","1573","Verify that login page displays correct page title","chromium","2026-07-22","passed","2026-07-22","Login Page Tests > Positive Login Tests","MainAppPages/Login.spec.js","",""
"","10298","Verify that signature widgets Copy widget to all pages but last function correctly in Sign Yourself.","chromium","2026-07-22","passed","2026-07-22","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","25121","Verify that a user can create a document, send it for a signature request, and signer can successfully sign the document.","chromium","2026-07-22","passed","2026-07-22","Request signature","MainAppPages/Request_Signature.spec.js","",""
"","16601","Verify that existing user can perform the sign yourself","chromium","2026-07-22","passed","2026-07-22","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","12681","Verify that stamp widget Copy widget to all pages function correctly in request signature.","chromium","2026-07-22","passed","2026-07-22","Request signature","MainAppPages/Request_Signature.spec.js","",""
"","4765","Verify that New user can upload and save the signature on the my signature page.","chromium","2026-07-22","passed","2026-07-22","My signature","MainAppPages/Mysignature.spec.js","",""
"","4364","Verify professional plan user cannot add a team user and is prompted to upgrade","chromium","2026-07-22","passed","2026-07-22","","MainAppPages/TeamUsers.spec.js","",""
"Verify successful login with Teams plan user credentials","4313","Verify that user can login with valid credentials Teams plan user","chromium","2026-07-22","passed","2026-07-22","Login Page Tests > Positive Login Tests","MainAppPages/Login.spec.js","",""
"","38603","Verify that a user can create a document with enable otp true and send it for a signature request, and signer can sign the document.","chromium","2026-07-22","passed","2026-07-22","Request signature","MainAppPages/Request_Signature.spec.js","",""
"","10871","Verify that signature widgets Copy widget to all pages but first function correctly in Sign Yourself.","chromium","2026-07-22","passed","2026-07-22","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","15242","Verify that revoked document from the In Progress document is available on the declined documents report.","chromium","2026-07-22","passed","2026-07-22","Declined documents","MainAppPages/ReportDeclineddoc.spec.js","",""
"","13891","Verify that the document created from a template appears in the Recently Sent for Signatures section on the dashboard.","chromium","2026-07-22","passed","2026-07-22","","MainAppPages/Dashboard.spec.js","",""
"","9540","Verify that the signature settings function correctly for the signature widget on the request signature page.","chromium","2026-07-22","passed","2026-07-22","Request signature","MainAppPages/Request_Signature.spec.js","",""
"","4261","Verify that professional plan user cannot add a team and is prompted to upgrade to a Teams plan.","chromium","2026-07-22","passed","2026-07-22","","MainAppPages/Teams.spec.js","",""
"","5260","Verify that New free user can save the general preferences.","chromium","2026-07-22","passed","2026-07-22","Preferences","MainAppPages/Preferences.spec.js","",""
