"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13737","Verify that the user can successfully sign a PDF that was previously incompatible ERR_PDF","chromium","Thu Apr 24 12:38:38 GMT 2025","passed","Thu Apr 24 12:38:52 GMT 2025","Incompatiblepdfs","MainAppPages/pdfsCompatibility.spec.js","",""
"","5313","Verify that initials widgets Copy widget to all pages but first function correctly in request signature.","chromium","Thu Apr 24 12:58:33 GMT 2025","passed","Thu Apr 24 12:58:38 GMT 2025","Request signature","MainAppPages/Request_Signature.spec.js","",""
"","123110","Verify that a user can create a document with two signers, send it for a signature request, and signer can successfully sign the document.","chromium","Thu Apr 24 12:54:11 GMT 2025","broken","Thu Apr 24 12:56:14 GMT 2025","Request signature","MainAppPages/Request_Signature.spec.js","",""
"","20343","Verify that owner can create the document and sign it from the need your signature report.","chromium","Thu Apr 24 12:42:41 GMT 2025","passed","Thu Apr 24 12:43:01 GMT 2025","Need your signature","MainAppPages/ReportNeedYourSign.spec.js","",""
"","11184","Verify that stamp widgets Copy widget to all pages but first function correctly in Sign Yourself.","chromium","Thu Apr 24 13:05:08 GMT 2025","passed","Thu Apr 24 13:05:19 GMT 2025","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","12072","Verify that the user can successfully sign a PDF that was previously incompatible pdf 10pages.","chromium","Thu Apr 24 12:39:06 GMT 2025","passed","Thu Apr 24 12:39:18 GMT 2025","Incompatiblepdfs","MainAppPages/pdfsCompatibility.spec.js","",""
"","10860","Verify that the unfinished SignYourSelf document can be edited from the Dashboard draft document.","chromium","Thu Apr 24 12:36:41 GMT 2025","passed","Thu Apr 24 12:36:52 GMT 2025","","MainAppPages/Dashboard.spec.js","",""
"","31518","Verify that a user can sign up with a Teams plan and validate the details in the user profile.","chromium","Thu Apr 24 13:00:41 GMT 2025","passed","Thu Apr 24 13:01:13 GMT 2025","SignupPage","MainAppPages/Signup.spec.js","",""
"","6132","Verify that initials widget Copy widget to all pages function correctly in request signature.","chromium","Thu Apr 24 12:58:21 GMT 2025","passed","Thu Apr 24 12:58:27 GMT 2025","Request signature","MainAppPages/Request_Signature.spec.js","",""
"","8677","Verify that initials widgets Copy widget next to current widget function correctly in Sign Yourself.","chromium","Thu Apr 24 13:06:10 GMT 2025","passed","Thu Apr 24 13:06:19 GMT 2025","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","10156","Verify that the rotate page functions correctly in create template.","chromium","Thu Apr 24 12:35:55 GMT 2025","passed","Thu Apr 24 12:36:05 GMT 2025","Templates","MainAppPages/CreateTemplate.spec.js","",""
"","6075","Verify that checkbox widget settings options function correctly in Sign Yourself.","chromium","Thu Apr 24 13:06:44 GMT 2025","passed","Thu Apr 24 13:06:50 GMT 2025","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","6793","Verify that stamp widget Copy widget to all pages function correctly in request signature.","chromium","Thu Apr 24 12:57:57 GMT 2025","passed","Thu Apr 24 12:58:04 GMT 2025","Request signature","MainAppPages/Request_Signature.spec.js","",""
"","6361","Verify that textinput field widget Copy widget to all pages but last function correctly in request signature.","chromium","Thu Apr 24 12:59:35 GMT 2025","passed","Thu Apr 24 12:59:41 GMT 2025","Request signature","MainAppPages/Request_Signature.spec.js","",""
"","9886","Verify the column names and the document details on the need your signature report.","chromium","Thu Apr 24 12:43:01 GMT 2025","passed","Thu Apr 24 12:43:11 GMT 2025","Need your signature","MainAppPages/ReportNeedYourSign.spec.js","",""
"","8269","Verify that signature widgets Copy widget next to current widget function correctly in Sign Yourself.","chromium","Thu Apr 24 13:04:41 GMT 2025","passed","Thu Apr 24 13:04:49 GMT 2025","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","8068","Verify that the Out for signature count on the card increases when a new document sent for request signature.","chromium","Thu Apr 24 12:36:33 GMT 2025","passed","Thu Apr 24 12:36:41 GMT 2025","Dashboard","MainAppPages/Dashboard.spec.js","",""
"","7511","Verify that user can import contacts from an Excel file and delete them across pages.","chromium","Thu Apr 24 12:28:33 GMT 2025","passed","Thu Apr 24 12:28:40 GMT 2025","Contact","MainAppPages/Contact.spec.js","",""
"","26991","Verify that the user can resend the email from the In Progress document.","chromium","Thu Apr 24 12:42:01 GMT 2025","passed","Thu Apr 24 12:42:28 GMT 2025","Inprogress report","MainAppPages/ReportInprogrees.spec.js","",""
"","13811","Verify that the user can sign a document of type Image.","chromium","Thu Apr 24 13:03:50 GMT 2025","passed","Thu Apr 24 13:04:03 GMT 2025","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","3611","Verify that clicking the Out for Signatures card functions correctly and redirects the user to the In-Progress report from the dashboard.","chromium","Thu Apr 24 12:36:15 GMT 2025","passed","Thu Apr 24 12:36:18 GMT 2025","Dashboard","MainAppPages/Dashboard.spec.js","",""
"","3610","Verify that the Need your signature card click functions correctly and redirects the user to the Need your sign report from the dashboard.","chromium","Thu Apr 24 12:36:11 GMT 2025","passed","Thu Apr 24 12:36:15 GMT 2025","Dashboard","MainAppPages/Dashboard.spec.js","",""
"","10112","Verify that text widget Copy widget to all pages but last function correctly in Sign Yourself.","chromium","Thu Apr 24 13:06:59 GMT 2025","passed","Thu Apr 24 13:07:09 GMT 2025","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","9779","Verify that stamp widgets Copy widget to all pages but last function correctly in Sign Yourself.","chromium","Thu Apr 24 13:04:58 GMT 2025","passed","Thu Apr 24 13:05:08 GMT 2025","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","8829","Verify that stamp widgets Copy widget to all pages function correctly in Sign Yourself.","chromium","Thu Apr 24 13:04:49 GMT 2025","passed","Thu Apr 24 13:04:58 GMT 2025","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","8665","Verify that signature widgets Copy widget to all pages but first function correctly in Sign Yourself.","chromium","Thu Apr 24 13:04:32 GMT 2025","passed","Thu Apr 24 13:04:41 GMT 2025","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","5606","Verify that signature widgets Copy widget next to current function correctly in request signature.","chromium","Thu Apr 24 12:57:52 GMT 2025","passed","Thu Apr 24 12:57:57 GMT 2025","Request signature","MainAppPages/Request_Signature.spec.js","",""
"","4293","Profession plan user is prompted to upgrade when accessing the Branding page.","chromium","Thu Apr 24 12:27:11 GMT 2025","passed","Thu Apr 24 12:27:15 GMT 2025","Console app - Branding Access Validation","ConsoleApp/ConsoleBranding.spec.js","",""
"","3921","Verify that pagination is functioning correctly in the inprogress document table.","chromium","Thu Apr 24 12:41:44 GMT 2025","passed","Thu Apr 24 12:41:48 GMT 2025","Inprogress report","MainAppPages/ReportInprogrees.spec.js","",""
"","6438","Verify that a free user cannot access the Analytics page in the console application and is prompted to upgrade.","chromium","Thu Apr 24 12:26:53 GMT 2025","passed","Thu Apr 24 12:26:59 GMT 2025","Console analytics","ConsoleApp/ConsoleAnalytics.spec.js","",""
"","4163","Verify that free user cannot add the live webhook.","chromium","Thu Apr 24 13:08:33 GMT 2025","passed","Thu Apr 24 13:08:37 GMT 2025","WebHook","MainAppPages/Webhook.spec.js","",""
"","4429","Verify that professional user cannot access the OrgAdmins page in the console application and is prompted to upgrade team plan.","chromium","Thu Apr 24 12:27:35 GMT 2025","passed","Thu Apr 24 12:27:39 GMT 2025","Console app","ConsoleApp/ConsoleOrgAdmins.spec.js","",""
"","7540","Verify that the user can revoke the document from the dashboard Recently sent for signatures.","chromium","Thu Apr 24 12:38:18 GMT 2025","passed","Thu Apr 24 12:38:25 GMT 2025","","MainAppPages/Dashboard.spec.js","",""
"","5494","Verify that user cannot add a new contact with existing email address","chromium","Thu Apr 24 12:28:27 GMT 2025","passed","Thu Apr 24 12:28:33 GMT 2025","Contact","MainAppPages/Contact.spec.js","",""
"","12381","Verify that the user can revoke the document from the In Progress document.","chromium","Thu Apr 24 12:42:28 GMT 2025","passed","Thu Apr 24 12:42:41 GMT 2025","Inprogress report","MainAppPages/ReportInprogrees.spec.js","",""
"","4233","Verify that New free user can save the general preferences.","chromium","Thu Apr 24 12:39:46 GMT 2025","passed","Thu Apr 24 12:39:50 GMT 2025","Preferences","MainAppPages/Preferences.spec.js","",""
"","13284","Verify that name,job title, company, checkbox, image and email widgets Copy function correctly in Sign Yourself.","chromium","Thu Apr 24 13:06:31 GMT 2025","passed","Thu Apr 24 13:06:44 GMT 2025","Sign yourself","MainAppPages/SignYourSelf.spec.js","",""
"","4876","Verify that pagination is functioning correctly in the need your signature table.","chromium","Thu Apr 24 12:43:11 GMT 2025","passed","Thu Apr 24 12:43:16 GMT 2025","Need your signature","MainAppPages/ReportNeedYourSign.spec.js","",""
"","11562","Verify that the unfinished SignYourSelf document can be edited from the Draft Document Report and completed by adding the required widgets.","chromium","Thu Apr 24 12:40:48 GMT 2025","passed","Thu Apr 24 12:41:00 GMT 2025","","MainAppPages/ReportDraftdoc.spec.js","",""
