"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16403","Verify that existing user can perform the sign yourself","chromium","Thu Feb 13 16:01:31 GMT 2025","passed","Thu Feb 13 16:01:47 GMT 2025","","SignYourSelf.spec.js","",""
"","3262","Verify that the Need your signature card click functions correctly and redirects the user to the Need your sign report from the dashboard.","chromium","Thu Feb 13 15:56:02 GMT 2025","passed","Thu Feb 13 15:56:05 GMT 2025","Dashboard","Dashboard.spec.js","",""
"","5115","Verify that user can add a new contact","chromium","Thu Feb 13 15:55:37 GMT 2025","passed","Thu Feb 13 15:55:42 GMT 2025","","Contact.spec.js","",""
"","4433","Verify that free user cannot add the live webhook.","chromium","Thu Feb 13 16:08:27 GMT 2025","passed","Thu Feb 13 16:08:31 GMT 2025","WebHook","Webhook.spec.js","",""
"","3096","Verify that the Request signature card click functions correctly and redirects the user to the Request signature page from the dashboard.","chromium","Thu Feb 13 15:55:59 GMT 2025","passed","Thu Feb 13 15:56:02 GMT 2025","Dashboard","Dashboard.spec.js","",""
"","7911","Verify that the Out for signature count on the card increases when a new document sent for request signature.","chromium","Thu Feb 13 15:56:38 GMT 2025","failed","Thu Feb 13 15:56:45 GMT 2025","Dashboard","Dashboard.spec.js","",""
"","17774","Verify that user can perform the sign yourself using the word document","chromium","Thu Feb 13 15:58:05 GMT 2025","passed","Thu Feb 13 15:58:23 GMT 2025","Incompatible PDFs","pdfsCompatibility.spec.js","",""
"","5918","Verify that user cannot add a new contact with existing email address","chromium","Thu Feb 13 15:55:42 GMT 2025","passed","Thu Feb 13 15:55:48 GMT 2025","","Contact.spec.js","",""
"","18953","Verify that the user can successfully sign a PDF that was previously incompatible (pdf Order Form)","chromium","Thu Feb 13 15:57:15 GMT 2025","passed","Thu Feb 13 15:57:34 GMT 2025","Incompatible PDFs","pdfsCompatibility.spec.js","",""
"","15326","Verify that the user can successfully sign a PDF that was previously incompatible pdf 10pages.","chromium","Thu Feb 13 15:57:34 GMT 2025","passed","Thu Feb 13 15:57:50 GMT 2025","Incompatible PDFs","pdfsCompatibility.spec.js","",""
"","39813","Verify that user can sign up with a professional plan","chromium","Thu Feb 13 16:00:30 GMT 2025","passed","Thu Feb 13 16:01:09 GMT 2025","","Signup.spec.js","",""
"","3724","Verify that New user can upload and save the signature on the my signature page.","chromium","Thu Feb 13 15:56:53 GMT 2025","passed","Thu Feb 13 15:56:57 GMT 2025","My signature","Mysignature.spec.js","",""
